Region,Country Name,Mobile users per capita,Population: Total (count),Year,Migration: Top 3 destinations,Migration: Top 3 sources
Africa,Seychelles,0.32,81131.0,2000,"[('United States', 2572.0), ('Australia', 2438.0), ('United Kingdom', 1434.0)]",
Africa,Sierra Leone,0.00,4143115.0,2000,"[('Guinea', 97669.0), ('United States', 22044.0), ('Liberia', 9774.0)]",
Asia,Singapore,0.68,4027900.0,2000,"[('Hong Kong SAR, China', 68886.0), ('Malaysia', 65444.0), ('United Kingdom', 40985.0)]",
The Americas,Sint Maarten (Dutch part),NA,30519.0,2000,[],
Europe,Slovak Republic,0.23,5388720.0,2000,"[('Czech Republic', 287874.0), ('Germany', 118829.0), ('France', 58839.0)]",
Europe,Slovenia,0.61,1988925.0,2000,"[('Croatia', 22177.0), ('Germany', 21893.0), ('Austria', 9722.0)]",
Oceania,Solomon Islands,0.00,408732.0,2000,"[('Australia', 1307.0), ('New Zealand', 497.0), ('United States', 360.0)]",
Africa,Somalia,0.01,7399033.0,2000,"[('Ethiopia', 101938.0), ('Djibouti', 41968.0), ('United States', 36762.0)]",
Africa,South Africa,0.19,44000000.0,2000,"[('Mozambique', 159113.0), ('United Kingdom', 143298.0), ('Australia', 79021.0)]",
Africa,South Sudan,NA,6631346.0,2000,[],
Europe,Spain,0.60,40263216.0,2000,"[('France', 151566.0), ('Argentina', 137084.0), ('Germany', 133635.0)]",
Asia,Sri Lanka,0.02,19102000.0,2000,"[('India', 185572.0), ('Saudi Arabia', 111001.0), ('Canada', 89335.0)]",
The Americas,St. Kitts and Nevis,0.03,44286.0,2000,"[('United States', 11101.0), ('Virgin Islands (U.S.)', 7069.0), ('Puerto Rico', 3007.0)]",
The Americas,St. Lucia,0.02,155996.0,2000,"[('United States', 14151.0), ('French Guiana', 12026.0), ('Barbados', 3970.0)]",
The Americas,St. Martin (French part),NA,28384.0,2000,[],
The Americas,St. Vincent and the Grenadines,0.02,107891.0,2000,"[('United States', 22249.0), ('Canada', 8643.0), ('Trinidad and Tobago', 8528.0)]",
Africa,Sudan,0.00,27556383.0,2000,"[('Saudi Arabia', 198887.0), ('Uganda', 149360.0), ('Kenya', 48296.0)]",
The Americas,Suriname,0.09,466846.0,2000,"[('Netherlands', 178273.0), ('France', 28022.0), ('United Kingdom', 15444.0)]",
Africa,Swaziland,0.03,1010787.0,2000,"[('South Africa', 31891.0), ('Malawi', 6994.0), ('Mozambique', 3135.0)]",
Europe,Sweden,0.72,8872109.0,2000,"[('United States', 55584.0), ('Norway', 34109.0), ('Finland', 28981.0)]",
Europe,Switzerland,0.65,7184250.0,2000,"[('United States', 51605.0), ('Spain', 43159.0), ('Germany', 38509.0)]",
Middle East,Syrian Arab Republic,0.00,15988534.0,2000,"[('Saudi Arabia', 105266.0), ('Kuwait', 101634.0), ('United States', 55753.0)]",
Asia,Tajikistan,0.00,6172807.0,2000,"[('Russian Federation', 383057.0), ('Uzbekistan', 68534.0), ('Ukraine', 32386.0)]",
Africa,Tanzania,0.00,34038161.0,2000,"[('Kenya', 61151.0), ('Sudan', 28388.0), ('Uganda', 25928.0)]",
Asia,Thailand,0.05,63155029.0,2000,"[('United States', 186520.0), ('Taiwan, China', 143484.0), ('Cambodia', 100363.0)]",
Asia,Timor-Leste,NA,830089.0,2000,"[('Australia', 9250.0), ('Portugal', 2442.0), ('Philippines', 1648.0)]",
Africa,Togo,0.01,4793504.0,2000,"[('Nigeria', 76914.0), (""Cote d'Ivoire"", 42108.0), ('Ghana', 40506.0)]",
Oceania,Tonga,0.00,97935.0,2000,"[('New Zealand', 17817.0), ('United States', 16694.0), ('Australia', 7596.0)]",
The Americas,Trinidad and Tobago,0.13,1292058.0,2000,"[('United States', 207679.0), ('Canada', 63625.0), ('United Kingdom', 8078.0)]",
Africa,Tunisia,0.01,9563500.0,2000,"[('France', 310949.0), ('Italy', 75808.0), ('Libya', 67943.0)]",
Europe,Turkey,0.25,63627862.0,2000,"[('Germany', 2008979.0), ('Austria', 179638.0), ('Netherlands', 176306.0)]",
Asia,Turkmenistan,0.00,4501419.0,2000,"[('Russian Federation', 175252.0), ('Uzbekistan', 42565.0), ('Kazakhstan', 33227.0)]",
The Americas,Turks and Caicos Islands,NA,18873.0,2000,"[('Bahamas, The', 2423.0), ('Puerto Rico', 1240.0), ('United States', 314.0)]",
NA,Tuvalu,0.00,9419.0,2000,"[('Kiribati', 1040.0), ('New Zealand', 1005.0), ('Naura', 520.0)]",
Africa,Uganda,0.01,24213120.0,2000,"[('Kenya', 351083.0), ('Sudan', 51331.0), ('United Kingdom', 29745.0)]",
Europe,Ukraine,0.02,49175848.0,2000,"[('Russian Federation', 3559975.0), ('United States', 444101.0), ('Kazakhstan', 402671.0)]",
Middle East,United Arab Emirates,0.47,3033491.0,2000,"[('West Bank and Gaza', 32202.0), ('India', 14316.0), ('Kuwait', 8991.0)]",
Europe,United Kingdom,0.74,58892514.0,2000,"[('Australia', 1026553.0), ('United States', 833858.0), ('Canada', 606723.0)]",
The Americas,United States,0.39,282162411.0,2000,"[('Mexico', 350626.0), ('Canada', 270708.0), ('Puerto Rico', 243628.0)]",
The Americas,Uruguay,0.12,3300847.0,2000,"[('Argentina', 119169.0), ('United States', 25507.0), ('Brazil', 24756.0)]",
Asia,Uzbekistan,0.00,24650400.0,2000,"[('Russian Federation', 918037.0), ('Ukraine', 242390.0), ('Kazakhstan', 109989.0)]",
Oceania,Vanuatu,0.00,185074.0,2000,"[('New Caledonia', 4064.0), ('Australia', 888.0), ('United States', 492.0)]",
The Americas,"Venezuela, RB",0.22,24311000.0,2000,"[('United States', 118195.0), ('Spain', 54198.0), ('Colombia', 37169.0)]",
Asia,Vietnam,0.01,77630900.0,2000,"[('United States', 1028454.0), ('Australia', 152582.0), ('Canada', 146343.0)]",
